"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","filename"
"1",1,47,2,1,1,1276066,1279438,3372,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"2",1,25,1,2,1,1301648,1304784,3136,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"3",1,55,1,3,1,1329401,1332112,2711,1,0,0,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"4",1,35,2,4,1,1349188,1352208,3020,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"5",1,23,2,5,1,1363475,1365655,2180,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"6",1,30,3,6,1,1383161,1386698,3537,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"7",1,49,1,7,1,1394512,1397096,2584,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"8",1,14,2,8,1,1404920,1407111,2191,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"9",1,17,2,9,1,1436614,1439367,2753,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"10",1,44,2,10,1,1464452,1468172,3720,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"11",1,40,1,11,1,1547759,1549672,1913,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"12",1,19,1,12,1,1560572,1562796,2224,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"13",1,34,1,13,1,1589074,1591297,2223,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"14",1,39,3,14,1,1633854,1636481,2627,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"15",1,51,3,15,1,1701722,1703953,2231,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"16",1,43,1,16,1,1720060,1722364,2304,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"17",1,12,3,17,1,1731182,1733121,1939,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"18",1,37,1,18,1,1743069,1745202,2133,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"19",1,11,2,19,1,1753185,1756561,3376,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"20",1,60,3,20,1,1788776,1791403,2627,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"21",1,38,2,21,1,2064564,2067220,2656,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"22",1,3,3,22,1,2081146,2085462,4316,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"23",1,2,2,23,1,2091897,2094792,2895,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"24",1,50,2,24,1,2108711,2112791,4080,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"25",1,59,2,25,1,2126952,2129822,2870,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"26",1,41,2,26,1,2189881,2193701,3820,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"27",1,22,1,27,1,2236082,2238684,2602,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"28",1,57,3,28,1,2250531,2256111,5580,1,0,0,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"29",1,5,2,29,1,2267296,2270287,2991,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"30",1,7,1,30,1,2283421,2286471,3050,1,1,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"31",1,26,2,31,1,2294732,2296743,2011,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
"32",1,33,3,32,1,2350510,2352755,2245,0,0,1,"C:/Data/corr_sacc/padded/JITT1_padded.asc"
